# Individual alphabet characters
leng1	l eng1
leng2	l eng2
leng3	l eng3
leng4	l eng4
leng5	l eng4
li1	l i1
li2	l i2
li3	l i3
li4	l i4
li5	l i4
lia1	l ia1
lia2	l ia2
lia3	l ia3
lia4	l ia4
lia5	l ia4
lian1	l ian1
lian2	l ian2
lian3	l ian3
lian4	l ian4
lian5	l ian4
liang1	l iang1
liang2	l iang2
liang3	l iang3
liang4	l iang4
liang5	l iang4
liao1	l iao1
liao2	l iao2
liao3	l iao3
liao4	l iao4
liao5	l iao4
lie1	l ie1
lie2	l ie2
lie3	l ie3
lie4	l ie4
lie5	l ie4
lin1	l in1
lin2	l in2
lin3	l in3
lin4	l in4
ling1	l ing1
ling2	l ing2
ling3	l ing3
ling4	l ing4
ling5	l ing4
liu1	l iou1
liu2	l iou2
liu3	l iou3
liu4	l iou4
liu5	l iou4
lo1	l o1
lo2	l o2
lo3	l o3
lo4	l o4
lo5	l o4
long1	l ong1
long2	l ong2
long3	l ong3
long4	l ong4
long5	l ong4
lou1	l ou1
lou2	l ou2
lou3	l ou3
lou4	l ou4
lou5	l ou4
lu1	l u1
lu2	l u2
lu3	l u3
lu4	l u4
lu5	l u4
luan1	l uan1
luan2	l uan2
luan3	l uan3
luan4	l uan4
luan5	l uan4
lun1	l uen1
lun2	l uen2
lun3	l uen3
lun4	l uen4
lun5	l uen4
luo1	l uo1
luo2	l uo2
luo3	l uo3
luo4	l uo4
luo5	l uo4
lv1	l yv1
lv2	l yv2
lv3	l yv3
lv4	l yv4
lv5	l yv4
lue1 	l yve1
lue2	l yve2
lue3	l yve3
lue4	l yve4
lue5	l yve4
lve1	l yve1
lve2	l yve2
lve3	l yve3
lve4	l yve4
lve5	l yve4
ma1	m a1
ma2	m a2
ma3	m a3
ma4	m a4
ma5	m a4
mai1	m ai1
mai2	m ai2
mai3	m ai3
mai4	m ai4
mai5	m ai4
man1	m an1
man2	m an2
man3	m an3
man4	m an4
man5	m an4
mang1	m ang1
mang2	m ang2
mang3	m ang3
mang5	m ang4
mao1	m ao1
mao2	m ao2
mao3	m ao3
mao4	m ao4
mao5	m ao4
me1	m e1
me2	m e2
me3	m e3
me4	m e4
me5	m e4
mei1	m ei1
mei2	m ei2
mei3	m ei3
mei4	m ei4
mei5	m ei4
men1	m en1
men2	m en2
men3	m en3
men4	m en4
men5	m en4
meng1	m eng1
meng2	m eng2
meng3	m eng3
meng4	m eng4
meng5	m eng4
mi1	m i1
mi2	m i2
mi3	m i3
mi4	m i4
mi5	m i4
mian1	m ian1
mian2	m ian2
mian3	m ian3
mian4	m ian4
mian5	m ian4
miao1	m iao1
miao2	m iao2
miao3	m iao3
miao4	m iao4
miao5	m iao4
mie1	m ie1
mie2	m ie2
mie3	m ie3
mie4	m ie4
mie5	m ie4
min1	m in1
min2	m in2
min3	m in3
min4	m in4
min5	m in4
ming1	m ing1
ming2	m ing2
ming3	m ing3
ming4	m ing4
ming5	m ing4
miu1	m iou1
miu2	m iou2
miu3	m iou3
miu4	m iou4
miu5	m iou4
mo1	m o1
mo2	m o2
mo3	m o3
mo4	m o4
mo5	m o4
mou1	m ou1
mou2	m ou2
mou3	m ou3
mou4	m ou4
mou5	m ou4
mu1	m u1
mu2	m u2
mu3	m u3
mu4	m u4
mu5	m u4
na1	n a1
na2	n a2
na3	n a3
na4	n a4
na5	n a4
nai1	n ai1
nai2	n ai2
nai3	n ai3
nai4	n ai4
nai5	n ai4
nan1	n an1
nan2	n an2
nan3	n an3
nan4	n an4
nan5	n an4
nang1	n ang1
nang2	n ang2
nang3	n ang3
nang4	n ang4
nang5	n ang4
nao1	n ao1
nao2	n ao2
nao3	n ao3
nao4	n ao4
nao5	n ao4
ne1	n e1
ne2	n e2
ne3	n e3
ne4	n e4
ne5	n e4
nei1	n ei1
nei2	n ei2
nei3	n ei3
nei4	n ei4
nei5	n ei4
nen1	n en1
nen2	n en2
nen3 	n en3
nen4	n en4
nen5	n en4
neng1	n eng1
neng2	n eng2
neng3	n eng3
neng4	n eng4
neng5	n eng4
ng1	eng1
ng2	eng2
ng3	eng3
ng4	eng4
ng5	eng4
ni1	n i1
ni2	n i2
ni3	n i3
ni4	n i4
ni5	n i4
nian1	n ian1
nian2	n ian2
nian3	n ian3
nian4	n ian4
nian5	n ian4
niang1	n iang1
niang2	n iang2
niang3	n iang3
